sha256,source_url,issuing_body,doc_type,filename,size_bytes,downloaded_at,verdict,pages,n_fonts,fonts_no_unicode,legacy_fonts,unknown_fonts,chars,dev_chars,invalid_matras,invalid_rate_per_1k,detached_matras,producer,creator
8a181e63ece3c0784a79b01d7bd77c6173bad99b815dc0a406d970c2619e6d8f,https://www.mhada.gov.in/sites/default/files/FINAL_APPROPVED_PRODUCT_LIST_of_civil_dtd-10-08-2026.pdf,Maharashtra Housing and Area Development Authority,notice/tender,FINAL_APPROPVED_PRODUCT_LIST_of_civil_dtd-10-08-2026.pdf,18780921,2026-08-10T16:06:11+00:00,CLEAN,75,90,57,,,54590,0,0,0.0,0,iLovePDF,
d59cba58c9833dfd53c5f580df74103a99e0fd85dfbd2eeb0ac10448fa72a0b4,https://mhada.gov.in/sites/default/files/Aprvd-List-of-Brand-of-Electrical-Material-dtd_07_07_2026.pdf,Maharashtra Housing and Area Development Authority,notice/tender,Aprvd-List-of-Brand-of-Electrical-Material-dtd_07_07_2026.pdf,5629415,2026-08-10T16:06:13+00:00,CLEAN,31,41,30,,,97996,0,0,0.0,0,3-Heights™ PDF Toolbox API 6.12.0.6 (http://www.pdf-tools.co,
2e3ad25700d5ab470983bcbe3ab4c34c31cc34a4e8a9ef807263654345b9ff33,https://www.mhada.gov.in/sites/default/files/150_days_program_ppt_31122025.pdf,Maharashtra Housing and Area Development Authority,notice/tender,150_days_program_ppt_31122025.pdf,228534,2026-08-10T16:06:13+00:00,LEGACY,12,8,4,"DVOT-Surekh;DVOT-Surekh,Bold",,4596,3182,4,1.26,0,Microsoft® Office PowerPoint® 2007,Microsoft® Office PowerPoint® 2007
facc7a6ee992bfc3fd0044a8d0f93abe53bd9769122247600451775d6db86d3d,https://www.mhada.gov.in/sites/default/files/Requirement_for_Product_Approval_detail-dtd_22-10-2024.pdf,Maharashtra Housing and Area Development Authority,notice/tender,Requirement_for_Product_Approval_detail-dtd_22-10-2024.pdf,445690,2026-08-10T16:06:15+00:00,SCAN,5,0,0,,,0,0,0,0.0,0,iLovePDF,
d4f6a5f10f76ec1c80e33d943cb75dba925f7933bbb8c39bf05d6e37cbf0599a,https://mhada.gov.in/sites/default/files/Pity_cases_dtd-03-09-2025.pdf,Maharashtra Housing and Area Development Authority,notice/tender,Pity_cases_dtd-03-09-2025.pdf,44691560,2026-08-10T16:06:21+00:00,LEGACY,122,7,5,"DVBW-TTSurekh,Bold;DVOT-SurekhMR;DVOT-SurekhMR,Bold",,4891,2779,39,14.03,8,iLovePDF,
befd69365dae174be4aa855bb1e0492c8455cbab87cee1a85191ca5b47f05420,https://www.mhada.gov.in/sites/default/files/SRA_Absorbed_Employees_list-dtd-28-08-2024.pdf,Maharashtra Housing and Area Development Authority,notice/tender,SRA_Absorbed_Employees_list-dtd-28-08-2024.pdf,173157,2026-08-10T16:06:21+00:00,SCAN,4,0,0,,,0,0,0,0.0,0,KONICA MINOLTA bizhub 227,KM_227
3bad71a6ff2b46d13db09b83785c26669155fd87c663ab6f5158242c10ac4eb4,https://www.mhada.gov.in/sites/default/files/Administration_Circular_regarding_Implementation_of_Lok_Shahi_Din_in_MHADA-dtd-13-12-2023.pdf,Maharashtra Housing and Area Development Authority,notice/tender,Administration_Circular_regarding_Implementation_of_Lok_Shahi_Din_in_MHADA-dtd-13-12-2023.pdf,410242,2026-08-10T16:06:23+00:00,SCAN,10,0,0,,,0,0,0,0.0,0,Epson Scan 2,
fc0c401c237759d0462cd2ad0ee4c136c855b802e0e67bdd5ae40e9634c35c2b,https://www.mhada.gov.in/sites/default/files/PMAY-Konkan-Board-Projects-dtd-13-9-2021.pdf,Maharashtra Housing and Area Development Authority,notice/tender,PMAY-Konkan-Board-Projects-dtd-13-9-2021.pdf,188526,2026-08-10T16:06:25+00:00,SCAN,3,0,0,,,0,0,0,0.0,0,KONICA MINOLTA bizhub 227,KM_227
16567c16af6eeda7378f805c99756488d62906343ca4baf0df5b04f160bbefed,https://www.mhada.gov.in/sites/default/files/JNNURM-Information-English-26_07_2019-Corrected.pdf,Maharashtra Housing and Area Development Authority,notice/tender,JNNURM-Information-English-26_07_2019-Corrected.pdf,417839,2026-08-10T16:06:27+00:00,CLEAN,4,8,6,,,5092,0,0,0.0,0,Microsoft® Word 2013,Microsoft® Word 2013
a6514483bbeaf5b3726c01fd36287a5eecbace8823c42593b294d9e34979d781,https://www.mhada.gov.in/sites/default/files/Guidelines_for_Self_Redevelopment-dtd-26-6-2023.pdf,Maharashtra Housing and Area Development Authority,notice/tender,Guidelines_for_Self_Redevelopment-dtd-26-6-2023.pdf,42443567,2026-08-10T16:06:33+00:00,SCAN,17,0,0,,,0,0,0,0.0,0,3-Heights™ PDF Merge Split Shell 6.12.1.11 (http://www.pdf-t,
