family_id,label,example_fonts,source,target,origin,n_attested,n_documents,confidence
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",xÉ,न,derived,8089,296,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",®ú,र,derived,6569,295,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",Eò,क,derived,4208,290,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",É,ा,derived,3926,279,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",¨É,म,derived,3549,296,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",±É,ल,derived,3527,294,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",MÉ,ग,derived,3092,291,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",ÉÊ¶,ाि,derived,2679,290,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",ÉEò,शक,derived,2628,290,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",Éä,ो,derived,2540,290,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",ºÉ,स,derived,2538,276,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",´É,व,derived,2395,287,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",¶É,श,derived,2392,287,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",Ê,ि,derived,2048,295,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",EòÉ,का,derived,1948,295,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",Ê´É,िव,derived,1643,285,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",]äõ,टे,derived,1466,277,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",{É,प,derived,1423,211,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",hÉ,ण,derived,1402,242,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",nù,द,derived,1388,257,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",{ÉÉ,पा,derived,1249,284,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",iÉ,त,derived,1220,252,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",ä,े,derived,1209,194,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",½þ,ह,derived,1075,153,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",¦ÉÉ,भा,derived,949,276,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",hÉä,णे,derived,915,236,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",½þÉ,हा,derived,864,274,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",vÉÒ,धी,derived,810,196,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",Ò±É,ील,derived,798,196,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",VÉ,ज,derived,766,214,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",Æ,ं,derived,760,210,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",¤É,ब,derived,689,191,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",ò.,र,derived,628,121,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",ªÉä,ये,derived,622,199,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",iÉÉ,ता,derived,581,216,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",+É,आ,derived,575,174,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",.G,्,derived,574,102,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",|É,क,derived,574,102,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",¤ÉÉ,बा,derived,560,191,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",b÷,ड,derived,545,196,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",SÉ,च,derived,499,165,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",lÉ,थ,derived,442,155,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",]õ,ट,derived,441,140,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",®úÒ,री,derived,426,107,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",SÉä,चे,derived,401,150,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",ÒJÉ,ीख,derived,394,173,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",É<Ç,ाई,derived,382,114,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",ÉiÉ,ात,derived,380,117,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",Ê`ö,िठ,derived,379,189,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",{ÉÖ,पु,derived,371,154,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",ä.,े,derived,367,154,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",ªÉÉ,या,derived,324,142,1.0
fam-01-dvttdhruvnor,LEGACY_8BIT,"DVTTDhruvNormal, F2, DVTTDhruvBold, F3",vÉ,ध,derived,314,139,1.0
